Image Name,Cluster Label
00000000.bmp,1
00000001.bmp,1
00000002.bmp,1
00000003.bmp,1
00000004.bmp,2
00000005.bmp,1
00000006.bmp,1
00000007.bmp,1
00000008.bmp,1
00000009.bmp,1
00000010.bmp,2
00000011.bmp,2
00000012.bmp,2
00000013.bmp,1
00000014.bmp,1
00000015.bmp,1
00001000.bmp,1
00001001.bmp,1
00001002.bmp,1
00001003.bmp,1
00001004.bmp,1
00001005.bmp,1
00001006.bmp,1
00001007.bmp,1
00001008.bmp,2
00001009.bmp,2
00001010.bmp,1
00001011.bmp,1
00001012.bmp,1
00001013.bmp,1
00001014.bmp,1
00001015.bmp,1
00002000.bmp,1
00002001.bmp,1
00002002.bmp,1
00002003.bmp,1
00002004.bmp,1
00002005.bmp,1
00002006.bmp,1
00002007.bmp,1
00002008.bmp,1
00002009.bmp,1
00002010.bmp,1
00002011.bmp,1
00002012.bmp,1
00002013.bmp,1
00002014.bmp,1
00002015.bmp,1
00003000.bmp,2
00003001.bmp,1
00003002.bmp,2
00003003.bmp,2
00003004.bmp,1
00003005.bmp,1
00003006.bmp,1
00003007.bmp,1
00003008.bmp,1
00003009.bmp,2
00003010.bmp,1
00003011.bmp,1
00003012.bmp,1
00003013.bmp,1
00003014.bmp,1
00003015.bmp,1
00004000.bmp,1
00004001.bmp,1
00004002.bmp,0
00004003.bmp,0
00004004.bmp,0
00004005.bmp,0
00004006.bmp,0
00004007.bmp,0
00004008.bmp,1
00004009.bmp,1
00004010.bmp,1
00004011.bmp,1
00004012.bmp,1
00004013.bmp,2
00004014.bmp,2
00004015.bmp,2
00005000.bmp,2
00005001.bmp,2
00005002.bmp,1
00005003.bmp,1
00005004.bmp,1
00005005.bmp,1
00005006.bmp,1
00005007.bmp,1
00005008.bmp,1
00005009.bmp,1
00005010.bmp,1
00005011.bmp,1
00005012.bmp,1
00005013.bmp,1
00005014.bmp,1
00005015.bmp,1
00006000.bmp,1
00006001.bmp,1
00006002.bmp,1
00006003.bmp,1
00006004.bmp,1
00006005.bmp,1
00006006.bmp,1
00006007.bmp,1
00006008.bmp,1
00006009.bmp,0
00006010.bmp,0
00006011.bmp,0
00006012.bmp,1
00006013.bmp,0
00006014.bmp,1
00006015.bmp,1
00007000.bmp,1
00007001.bmp,2
00007002.bmp,2
00007003.bmp,3
00007004.bmp,3
00007005.bmp,0
00007006.bmp,0
00007007.bmp,2
00007008.bmp,1
00007009.bmp,1
00007010.bmp,1
00007011.bmp,0
00007012.bmp,0
00007013.bmp,1
00007014.bmp,0
00007015.bmp,1
01000000.bmp,1
01000001.bmp,1
01000002.bmp,1
01000003.bmp,1
01000004.bmp,1
01000005.bmp,0
01000006.bmp,1
01000007.bmp,1
01000008.bmp,1
01000009.bmp,1
01000010.bmp,1
01000011.bmp,1
01000012.bmp,1
01000013.bmp,1
01000014.bmp,1
01000015.bmp,1
01001000.bmp,1
01001001.bmp,1
01001002.bmp,1
01001003.bmp,1
01001004.bmp,1
01001005.bmp,2
01001006.bmp,2
01001007.bmp,2
01001008.bmp,2
01001009.bmp,1
01001010.bmp,1
01001011.bmp,1
01001012.bmp,1
01001013.bmp,2
01001014.bmp,2
01001015.bmp,1
01002000.bmp,1
01002001.bmp,2
01002002.bmp,1
01002003.bmp,2
01002004.bmp,1
01002005.bmp,1
01002006.bmp,1
01002007.bmp,2
01002008.bmp,1
01002009.bmp,1
01002010.bmp,2
01002011.bmp,1
01002012.bmp,3
01002013.bmp,2
01002014.bmp,2
01002015.bmp,1
01003000.bmp,1
01003001.bmp,1
01003002.bmp,1
01003003.bmp,2
01003004.bmp,1
01003005.bmp,1
01003006.bmp,1
01003007.bmp,1
01003008.bmp,1
01003009.bmp,1
01003010.bmp,1
01003011.bmp,2
01003012.bmp,2
01003013.bmp,1
01003014.bmp,2
01003015.bmp,2
01004000.bmp,1
01004001.bmp,2
01004002.bmp,2
01004003.bmp,2
01004004.bmp,2
01004005.bmp,2
01004006.bmp,2
01004007.bmp,2
01004008.bmp,2
01004009.bmp,2
01004010.bmp,2
01004011.bmp,2
01004012.bmp,2
01004013.bmp,2
01004014.bmp,2
01004015.bmp,2
01005000.bmp,2
01005001.bmp,2
01005002.bmp,2
01005003.bmp,0
01005004.bmp,2
01005005.bmp,2
01005006.bmp,0
01005007.bmp,2
01005008.bmp,2
01005009.bmp,1
01005010.bmp,2
01005011.bmp,0
01005012.bmp,2
01005013.bmp,2
01005014.bmp,2
01005015.bmp,2
01006000.bmp,2
01006001.bmp,2
01006002.bmp,2
01006003.bmp,2
01006004.bmp,1
01006005.bmp,1
01006006.bmp,0
01006007.bmp,0
01006008.bmp,0
01006009.bmp,0
01006010.bmp,0
01006011.bmp,0
01006012.bmp,2
01006013.bmp,0
01006014.bmp,0
01006015.bmp,0
02000000.bmp,0
02000001.bmp,0
02000002.bmp,0
02000003.bmp,0
02000004.bmp,0
02000005.bmp,0
02000006.bmp,0
02000007.bmp,0
02000008.bmp,0
02000009.bmp,0
02000010.bmp,0
02000011.bmp,2
02000012.bmp,0
02000013.bmp,0
02000014.bmp,0
02000015.bmp,0
02001000.bmp,0
02001001.bmp,0
02001002.bmp,0
02001003.bmp,0
02001004.bmp,0
02001005.bmp,0
02001006.bmp,0
02001007.bmp,0
02001008.bmp,0
02001009.bmp,0
